Date,High,Low,Last,Average,Sell,Buy,Volume (BTC),Volume (CNY)
2016-11-12,4942.89,4888.0,4926.46,4921.26,4926.39,4926.0,322.01,1584696.06
2016-11-11,4951.27,4865.0,4913.0,4908.86,4914.0,4911.66,514.907,2527603.82
2016-11-10,4994.0,4824.1,4946.41,4941.06,4944.89,4944.19,578.89,2860330.11
2016-11-09,4883.0,4770.0,4833.32,4828.22,4833.51,4832.39,577.772,2789612.6
2016-11-08,4810.0,4732.0,4775.1,4776.76,4772.86,4771.05,611.275,2919912.63
2016-11-06,4837.0,4703.0,4824.37,4783.1,4825.14,4822.52,256.76,1228108.82
2016-11-05,4783.0,4685.65,4730.23,4733.54,4734.64,4734.53,536.939,2541623.9
2016-11-04,4789.18,4560.0,4739.84,4718.5,4742.28,4741.95,813.943,3840587.53
2016-11-03,5130.4,4550.0,4592.03,5019.57,4594.69,4593.94,821.141,4121778.16
2016-11-02,5016.42,4931.0,5016.0,4977.83,5017.12,5016.21,433.817,2159468.64
2016-11-01,5050.0,4800.0,4993.0,4958.05,4998.85,4996.28,547.795,2715995.37
2016-10-31,4866.0,4700.0,4812.46,4795.33,4814.63,4813.62,276.75,1327107.4
2016-10-30,4930.0,4740.9,4799.95,4838.49,4781.98,4781.82,263.182,1273402.3
2016-10-29,4950.0,4704.17,4921.94,4824.61,4922.85,4922.76,433.923,2093507.39
2016-10-28,4723.98,4672.94,4708.69,4700.45,4710.0,4709.28,353.946,1663704.39
2016-10-27,4733.9,4648.0,4700.0,4694.84,4701.5,4700.55,1006.176,4723830.32
2016-10-26,4677.04,4450.0,4652.09,4560.78,4652.12,4652.01,364.795,1663749.94
2016-10-25,4609.98,4482.4,4577.53,4515.05,4577.79,4577.05,525.039,2370575.51
2016-10-24,4506.3,4458.36,4479.19,4482.07,4484.81,4483.41,520.833,2334410.24
2016-10-23,4563.65,4470.0,4505.08,4515.73,4504.73,4503.14,640.406,2891900.65
2016-10-22,4528.0,4294.0,4507.79,4350.88,4510.76,4509.48,847.063,3685473.11
2016-10-21,4298.38,4262.75,4291.58,4288.66,4298.23,4296.74,335.869,1440429.03
2016-10-20,4271.22,4230.0,4265.35,4249.56,4264.03,4261.71,463.284,1968755.1
2016-10-19,4329.86,4227.25,4254.73,4289.1,4255.0,4253.87,583.881,2504326.71
2016-10-18,4340.0,4293.43,4321.92,4325.58,4322.24,4320.71,140.482,607666.15
2016-10-17,4346.54,4318.13,4328.19,4337.33,4328.71,4327.33,157.079,681304.2
2016-10-16,4355.91,4310.42,4341.78,4336.35,4340.07,4338.17,241.929,1049090.02
2016-10-15,4339.99,4294.27,4312.0,4324.26,4312.14,4310.58,147.575,638153.35
2016-10-14,4343.82,4300.0,4321.64,4317.06,4321.81,4320.59,124.103,535760.23
2016-10-13,4316.84,4293.31,4306.76,4308.05,4308.57,4306.86,140.141,603734.28
2016-10-12,4352.35,4281.0,4305.48,4307.16,4306.86,4306.16,272.33,1172968.2
2016-10-11,4340.73,4140.37,4333.21,4242.84,4330.0,4329.34,323.578,1372888.28
2016-10-10,4147.56,4115.0,4142.39,4129.53,4142.33,4141.06,360.861,1490187.83
2016-10-09,4123.71,4100.0,4112.74,4110.2,4113.29,4112.96,150.017,616599.23
2016-10-08,4140.0,4113.94,4119.0,4120.66,4120.1,4119.16,129.166,532249.03
2016-10-07,4132.03,4089.0,4124.09,4114.47,4124.12,4122.64,145.382,598170.51
2016-10-06,4097.39,4080.0,4092.74,4090.42,4093.29,4092.12,35.512,145258.84
2016-10-05,4100.0,4067.0,4095.82,4080.16,4095.06,4094.45,47.399,193395.68
2016-10-04,4087.48,4057.94,4077.27,4071.94,4077.23,4076.33,97.735,397971.28
2016-10-03,4092.74,4078.32,4084.99,4087.86,4085.0,4083.64,96.465,394335.34
2016-10-02,4099.82,4070.0,4082.25,4086.14,4083.74,4082.43,168.084,686814.93
2016-10-01,4111.0,4070.0,4099.82,4088.96,4100.01,4098.43,144.921,592576.26
2016-09-30,4078.01,4030.99,4074.0,4038.54,4070.85,4069.8,393.439,1588917.97
2016-09-29,4050.23,4023.21,4037.62,4032.75,4035.96,4034.95,567.106,2286997.62
2016-09-28,4045.0,4020.0,4032.83,4032.75,4033.0,4032.02,397.637,1603568.64
2016-09-27,4062.21,4016.82,4032.97,4038.84,4033.25,4032.7,165.101,666817.11
2016-09-26,4054.0,3987.55,4044.69,4008.35,4044.8,4044.24,287.32,1151679.57
2016-09-25,4015.18,3980.08,3991.06,3996.5,3991.99,3990.04,19.974,79826.18
2016-09-24,4023.75,3990.84,4004.35,4013.53,4007.78,4007.34,58.192,233555.29
2016-09-23,4015.48,3966.0,4013.56,3988.77,4013.19,4011.98,34.795,138789.37
2016-09-22,3986.0,3964.05,3967.98,3977.78,3967.91,3966.98,35.787,142352.82
